"Time Quantum","Algorithm","Amount of processes","Average processing time","Average waiting time"
"0.5","FCFS","100","520.933","531.451"
"0.5","LCFS","100","520.329","530.847"
"0.5","SJF","100","355.408","365.926"
"0.5","RoundRobin FCFS","100","379.164","389.682"
"0.5","RoundRobin LCFS","100","379.084","389.602"

"1.0","FCFS","100","520.933","531.451"
"1.0","LCFS","100","520.329","530.847"
"1.0","SJF","100","355.408","365.926"
"1.0","RoundRobin FCFS","100","684.861","695.379"
"1.0","RoundRobin LCFS","100","684.78","695.298"

"1.5","FCFS","100","520.933","531.451"
"1.5","LCFS","100","520.329","530.847"
"1.5","SJF","100","355.408","365.926"
"1.5","RoundRobin FCFS","100","622.892","633.41"
"1.5","RoundRobin LCFS","100","622.694","633.211"

